Microsoft (R) COFF/PE Dumper Version 14.33.31630.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file libraylib.dll
         79   4E 000BD8D0 DrawCylinder
         80   4F 000BDD50 DrawCylinderEx
         81   50 000BE430 DrawCylinderWires
         82   51 000BE6F0 DrawCylinderWiresEx
         83   52 000E9910 DrawEllipse
         84   53 000E9AA0 DrawEllipseLines
         85   54 000FB6C0 DrawFPS
         86   55 000C0780 DrawGrid
         87   56 000E8500 DrawLine
         88   57 000BC610 DrawLine3D
         89   58 000E86E0 DrawLineBezier
         90   59 000E8AC0 DrawLineEx
         91   5A 000E8640 DrawLineStrip
         92   5B 000E8590 DrawLineV
         93   5C 000C7C10 DrawMesh
         94   5D 000C8D30 DrawMeshInstanced
         95   5E 000D18B0 DrawModel
         96   5F 000D1960 DrawModelEx
         97   60 000D23A0 DrawModelPoints
         98   61 000D2490 DrawModelPointsEx
         99   62 000D21C0 DrawModelWires
        100   63 000D22A0 DrawModelWiresEx
        101   64 000E82F0 DrawPixel
        102   65 000E8310 DrawPixelV
        103   66 000C05D0 DrawPlane
        104   67 000BC690 DrawPoint3D
        105   68 000ECD40 DrawPoly
        106   69 000ED030 DrawPolyLines
        107   6A 000ED190 DrawPolyLinesEx
        108   6B 000C06E0 DrawRay
        109   6C 000EA570 DrawRectangle
        110   6D 000EA940 DrawRectangleGradientEx
        111   6E 000EABC0 DrawRectangleGradientH
        112   6F 000EA8E0 DrawRectangleGradientV
        113   70 000EAC10 DrawRectangleLines
        114   71 000EADC0 DrawRectangleLinesEx
        115   72 000EA600 DrawRectanglePro
        116   73 000EA8B0 DrawRectangleRec
        117   74 000EAF60 DrawRectangleRounded
        118   75 000EBA90 DrawRectangleRoundedLines
        119   76 000EBAC0 DrawRectangleRoundedLinesEx
        120   77 000EA5C0 DrawRectangleV
        121   78 000E9C20 DrawRing
        122   79 000EA100 DrawRingLines
        123   7A 000BD160 DrawSphere
        124   7B 000BD1A0 DrawSphereEx
        125   7C 000BD4D0 DrawSphereWires
        126   7D 000ED610 DrawSplineBasis
        127   7E 000EFC50 DrawSplineBezierCubic
        128   7F 000EF2B0 DrawSplineBezierQuadratic
        129   80 000EE670 DrawSplineCatmullRom
        130   81 000ED4E0 DrawSplineLinear
        131   82 000F00E0 DrawSplineSegmentBasis
        132   83 000EFCC0 DrawSplineSegmentBezierCubic
        133   84 000EF320 DrawSplineSegmentBezierQuadratic
        134   85 000F0A70 DrawSplineSegmentCatmullRom
        135   86 000F0010 DrawSplineSegmentLinear
        136   87 000FB7A0 DrawText
        137   88 000FBF30 DrawTextCodepoint
        138   89 000FC1B0 DrawTextCodepoints
        139   8A 000FB8F0 DrawTextEx
        140   8B 000FC050 DrawTextPro
        141   8C 0011E230 DrawTexture
        142   8D 0011E2B0 DrawTextureEx
        143   8E 0011E880 DrawTextureNPatch
        144   8F 0011E390 DrawTexturePro
        145   90 0011E810 DrawTextureRec
        146   91 0011E320 DrawTextureV
        147   92 000EC810 DrawTriangle
        148   93 000BC880 DrawTriangle3D
        149   94 000ECB50 DrawTriangleFan
        150   95 000ECA40 DrawTriangleLines
        151   96 000E89D0 DrawTriangleStrip
        152   97 000BC920 DrawTriangleStrip3D
        153   98 00090FE0 EnableCursor
        154   99 000934F0 EnableEventWaiting
        155   9A 000992F0 EncodeDataBase64
        156   9B 00096230 EndBlendMode
        157   9C 000936B0 EndDrawing
        158   9D 00095640 EndMode2D
        159   9E 00095C70 EndMode3D
        160   9F 00096370 EndScissorMode
        161   A0 000961E0 EndShaderMode
        162   A1 00095F80 EndTextureMode
        163   A2 000964B0 EndVrStereoMode
        164   A3 00099E70 ExportAutomationEventList
        165   A4 0014B700 ExportDataAsCode
        166   A5 000FAC80 ExportFontAsCode
        167   A6 0010ECE0 ExportImage
        168   A7 0010F920 ExportImageAsCode
        169   A8 0010F880 ExportImageToMemory
        170   A9 000C9E90 ExportMesh
        171   AA 000CA280 ExportMeshAsCode
        172   AB 00057510 ExportWave
        173   AC 00057950 ExportWaveAsCode
        174   AD 0011F3A0 Fade
        175   AE 00098420 FileExists
        176   AF 0009B730 FloatEquals
        177   B0 001A0D90 GLAD_GL_ARB_ES2_compatibility
        178   B1 001A0D94 GLAD_GL_ARB_ES3_1_compatibility
        179   B2 001A0D98 GLAD_GL_ARB_ES3_2_compatibility
        180   B3 001A0D9C GLAD_GL_ARB_ES3_compatibility
        181   B4 001A0DA0 GLAD_GL_ARB_blend_func_extended
        182   B5 001A0DA4 GLAD_GL_ARB_buffer_storage
        183   B6 001A0DA8 GLAD_GL_ARB_clear_buffer_object
        184   B7 001A0DAC GLAD_GL_ARB_clear_texture
        185   B8 001A0DB0 GLAD_GL_ARB_color_buffer_float
        186   B9 001A0DB4 GLAD_GL_ARB_compatibility
        187   BA 001A0DB8 GLAD_GL_ARB_compressed_texture_pixel_storage
        188   BB 001A0DBC GLAD_GL_ARB_compute_shader
        189   BC 001A0DC0 GLAD_GL_ARB_compute_variable_group_size
        190   BD 001A0DC4 GLAD_GL_ARB_copy_buffer
        191   BE 001A0DC8 GLAD_GL_ARB_copy_image
        192   BF 001A0DCC GLAD_GL_ARB_debug_output
        193   C0 001A0DD0 GLAD_GL_ARB_depth_buffer_float
        194   C1 001A0DD4 GLAD_GL_ARB_depth_clamp
        195   C2 001A0DD8 GLAD_GL_ARB_depth_texture
        196   C3 001A0DDC GLAD_GL_ARB_direct_state_access
        197   C4 001A0DE0 GLAD_GL_ARB_draw_buffers
        198   C5 001A0DE4 GLAD_GL_ARB_draw_buffers_blend
        199   C6 001A0DE8 GLAD_GL_ARB_draw_elements_base_vertex
        200   C7 001A0DEC GLAD_GL_ARB_draw_indirect
        201   C8 001A0DF0 GLAD_GL_ARB_draw_instanced
        202   C9 001A0DF4 GLAD_GL_ARB_enhanced_layouts
        203   CA 001A0DF8 GLAD_GL_ARB_explicit_attrib_location
        204   CB 001A0DFC GLAD_GL_ARB_explicit_uniform_location
        205   CC 001A0E00 GLAD_GL_ARB_fragment_coord_conventions
        206   CD 001A0E04 GLAD_GL_ARB_fragment_layer_viewport
        207   CE 001A0E08 GLAD_GL_ARB_fragment_program
        208   CF 001A0E0C GLAD_GL_ARB_fragment_program_shadow
        209   D0 001A0E10 GLAD_GL_ARB_fragment_shader
        210   D1 001A0E14 GLAD_GL_ARB_fragment_shader_interlock
        211   D2 001A0E18 GLAD_GL_ARB_framebuffer_no_attachments
        212   D3 001A0E1C GLAD_GL_ARB_framebuffer_object
        213   D4 001A0E20 GLAD_GL_ARB_framebuffer_sRGB
        214   D5 001A0E24 GLAD_GL_ARB_geometry_shader4
        215   D6 001A0E28 GLAD_GL_ARB_get_program_binary
        216   D7 001A0E2C GLAD_GL_ARB_get_texture_sub_image
        217   D8 001A0E30 GLAD_GL_ARB_gl_spirv
        218   D9 001A0E34 GLAD_GL_ARB_gpu_shader5
        219   DA 001A0E38 GLAD_GL_ARB_gpu_shader_fp64
        220   DB 001A0E3C GLAD_GL_ARB_gpu_shader_int64
        221   DC 001A0E40 GLAD_GL_ARB_half_float_pixel
        222   DD 001A0E44 GLAD_GL_ARB_half_float_vertex
        223   DE 001A0E48 GLAD_GL_ARB_instanced_arrays
        224   DF 001A0E4C GLAD_GL_ARB_internalformat_query
        225   E0 001A0E50 GLAD_GL_ARB_internalformat_query2
        226   E1 001A0E54 GLAD_GL_ARB_map_buffer_range
        227   E2 001A0E58 GLAD_GL_ARB_multi_bind
        228   E3 001A0E5C GLAD_GL_ARB_multi_draw_indirect
        229   E4 001A0E60 GLAD_GL_ARB_multisample
        230   E5 001A0E64 GLAD_GL_ARB_multitexture
        231   E6 001A0E68 GLAD_GL_ARB_occlusion_query
        232   E7 001A0E6C GLAD_GL_ARB_occlusion_query2
        233   E8 001A0E70 GLAD_GL_ARB_pipeline_statistics_query
        234   E9 001A0E74 GLAD_GL_ARB_query_buffer_object
        235   EA 001A0E78 GLAD_GL_ARB_sample_locations
        236   EB 001A0E7C GLAD_GL_ARB_sample_shading
        237   EC 001A0E80 GLAD_GL_ARB_seamless_cube_map
        238   ED 001A0E84 GLAD_GL_ARB_seamless_cubemap_per_texture
        239   EE 001A0E88 GLAD_GL_ARB_shader_atomic_counter_ops
        240   EF 001A0E8C GLAD_GL_ARB_shader_atomic_counters
        241   F0 001A0E90 GLAD_GL_ARB_shader_bit_encoding
        242   F1 001A0E94 GLAD_GL_ARB_shader_clock
        243   F2 001A0E98 GLAD_GL_ARB_shader_image_load_store
        244   F3 001A0E9C GLAD_GL_ARB_shader_image_size
        245   F4 001A0EA0 GLAD_GL_ARB_shader_objects
        246   F5 001A0EA4 GLAD_GL_ARB_shader_storage_buffer_object
        247   F6 001A0EA8 GLAD_GL_ARB_shader_texture_lod
        248   F7 001A0EAC GLAD_GL_ARB_shading_language_100
        249   F8 001A0EB0 GLAD_GL_ARB_shading_language_420pack
        250   F9 001A0EB4 GLAD_GL_ARB_shading_language_include
        251   FA 001A0EB8 GLAD_GL_ARB_shading_language_packing
        252   FB 001A0EBC GLAD_GL_ARB_spirv_extensions
        253   FC 001A0EC0 GLAD_GL_ARB_tessellation_shader
        254   FD 001A0EC4 GLAD_GL_ARB_texture_border_clamp
        255   FE 001A0EC8 GLAD_GL_ARB_texture_buffer_object_rgb32
        256   FF 001A0ECC GLAD_GL_ARB_texture_compression
        257  100 001A0ED0 GLAD_GL_ARB_texture_cube_map
        258  101 001A0ED4 GLAD_GL_ARB_texture_cube_map_array
        259  102 001A0ED8 GLAD_GL_ARB_texture_env_add
        260  103 001A0EDC GLAD_GL_ARB_texture_filter_anisotropic
        261  104 001A0EE0 GLAD_GL_ARB_texture_filter_minmax
        262  105 001A0EE4 GLAD_GL_ARB_texture_float
        263  106 001A0EE8 GLAD_GL_ARB_texture_mirror_clamp_to_edge
        264  107 001A0EEC GLAD_GL_ARB_texture_mirrored_repeat
        265  108 001A0EF0 GLAD_GL_ARB_texture_multisample
        266  109 001A0EF4 GLAD_GL_ARB_texture_non_power_of_two
        267  10A 001A0EF8 GLAD_GL_ARB_texture_rg
        268  10B 001A0EFC GLAD_GL_ARB_texture_storage
        269  10C 001A0F00 GLAD_GL_ARB_texture_swizzle
        270  10D 001A0F04 GLAD_GL_ARB_texture_view
        271  10E 001A0F08 GLAD_GL_ARB_timer_query
        272  10F 001A0F0C GLAD_GL_ARB_transpose_matrix
        273  110 001A0F10 GLAD_GL_ARB_uniform_buffer_object
        274  111 001A0F14 GLAD_GL_ARB_vertex_array_bgra
        275  112 001A0F18 GLAD_GL_ARB_vertex_array_object
        276  113 001A0F1C GLAD_GL_ARB_vertex_attrib_binding
        277  114 001A0F20 GLAD_GL_ARB_vertex_buffer_object
        278  115 001A0F24 GLAD_GL_ARB_vertex_program
        279  116 001A0F28 GLAD_GL_ARB_vertex_shader
        280  117 001A0F2C GLAD_GL_EXT_draw_instanced
        281  118 001A0F30 GLAD_GL_EXT_fog_coord
        282  119 001A0F34 GLAD_GL_EXT_framebuffer_blit
        283  11A 001A0F38 GLAD_GL_EXT_framebuffer_multisample
        284  11B 001A0F3C GLAD_GL_EXT_framebuffer_object
        285  11C 001A0F40 GLAD_GL_EXT_framebuffer_sRGB
        286  11D 001A0F44 GLAD_GL_EXT_texture_compression_s3tc
        287  11E 001A0F48 GLAD_GL_EXT_texture_filter_anisotropic
        288  11F 001A0F4C GLAD_GL_EXT_texture_mirror_clamp
        289  120 001A0F50 GLAD_GL_KHR_texture_compression_astc_hdr
        290  121 001A0F54 GLAD_GL_KHR_texture_compression_astc_ldr
        291  122 001A0F58 GLAD_GL_OES_compressed_paletted_texture
        292  123 001A0F5C GLAD_GL_OES_fixed_point
        293  124 001A0D50 GLAD_GL_VERSION_1_0
        294  125 001A0D54 GLAD_GL_VERSION_1_1
        295  126 001A0D58 GLAD_GL_VERSION_1_2
        296  127 001A0D5C GLAD_GL_VERSION_1_3
        297  128 001A0D60 GLAD_GL_VERSION_1_4
        298  129 001A0D64 GLAD_GL_VERSION_1_5
        299  12A 001A0D68 GLAD_GL_VERSION_2_0
        300  12B 001A0D6C GLAD_GL_VERSION_2_1
        301  12C 001A0D70 GLAD_GL_VERSION_3_0
        302  12D 001A0D74 GLAD_GL_VERSION_3_1
        303  12E 001A0D78 GLAD_GL_VERSION_3_2
        304  12F 001A0D7C GLAD_GL_VERSION_3_3
        305  130 001A0D80 GLAD_GL_VERSION_4_0
        306  131 001A0D84 GLAD_GL_VERSION_4_1
        307  132 001A0D88 GLAD_GL_VERSION_4_2
        308  133 001A0D8C GLAD_GL_VERSION_4_3
        309  134 00111EB0 GenImageCellular
        310  135 00111660 GenImageChecked
        311  136 0010FCF0 GenImageColor
        312  137 000F9C20 GenImageFontAtlas
        313  138 0010FDB0 GenImageGradientLinear
        314  139 001108B0 GenImageGradientRadial
        315  13A 00110B70 GenImageGradientSquare
        316  13B 00111890 GenImagePerlinNoise
        317  13C 00112570 GenImageText
        318  13D 001117D0 GenImageWhiteNoise
        319  13E 000CF490 GenMeshCone
        320  13F 000CE790 GenMeshCube
        321  140 000D0340 GenMeshCubicmap
        322  141 000CEE30 GenMeshCylinder
        323  142 000CFCC0 GenMeshHeightmap
        324  143 000CEC10 GenMeshHemiSphere
        325  144 000CFA70 GenMeshKnot
        326  145 000CDFB0 GenMeshPlane
        327  146 000CDB80 GenMeshPoly
        328  147 000CE9F0 GenMeshSphere
        329  148 000D13C0 GenMeshTangents
        330  149 000CF830 GenMeshTorus
        331  14A 0011E090 GenTextureMipmaps
        332  14B 00098890 GetApplicationDirectory
        333  14C 00088CA0 GetCameraForward
        334  14D 00097740 GetCameraMatrix
        335  14E 000950B0 GetCameraMatrix2D
        336  14F 0008A100 GetCameraProjectionMatrix
        337  150 00088D80 GetCameraRight
        338  151 00088D10 GetCameraUp
        339  152 00089EC0 GetCameraViewMatrix
        340  153 0009A520 GetCharPressed
        341  154 00090BA0 GetClipboardImage
        342  155 00090B90 GetClipboardText
        343  156 000FD870 GetCodepoint
        344  157 000FD7A0 GetCodepointCount
        345  158 000FBD70 GetCodepointNext
        346  159 000FDA80 GetCodepointPrevious
        347  15A 000F2430 GetCollisionRec
        348  15B 0011FB10 GetColor
        349  15C 0008F980 GetCurrentMonitor
        350  15D 000986C0 GetDirectoryPath
        351  15E 000980D0 GetFPS
        352  15F 00098510 GetFileExtension
        353  160 00098570 GetFileLength
        354  161 00099150 GetFileModTime
        355  162 000983D0 GetFileName
        356  163 000985C0 GetFileNameWithoutExt
        357  164 000F3280 GetFontDefault
        358  165 0008B300 GetFrameTime
        359  166 0009A700 GetGamepadAxisCount
        360  167 0008B390 GetGamepadAxisMovement
        361  168 0009A6F0 GetGamepadButtonPressed
        362  169 0009A5B0 GetGamepadName
        363  16A 00088C20 GetGestureDetected
        364  16B 00088C70 GetGestureDragAngle
        365  16C 00088C60 GetGestureDragVector
        366  16D 00088C30 GetGestureHoldDuration
        367  16E 00088C90 GetGesturePinchAngle
        368  16F 00088C80 GetGesturePinchVector
        369  170 000FC8C0 GetGlyphAtlasRec
        370  171 000FBED0 GetGlyphIndex
        371  172 000FC830 GetGlyphInfo
        372  173 00116750 GetImageAlphaBorder
        373  174 0011A630 GetImageColor
        374  175 0009A4A0 GetKeyPressed
        375  176 000562A0 GetMasterVolume
        376  177 000C7AB0 GetMeshBoundingBox
        377  178 000C7600 GetModelBoundingBox
        378  179 000907E0 GetMonitorCount
        379  17A 000908F0 GetMonitorHeight
        380  17B 00090A90 GetMonitorName
        381  17C 000909C0 GetMonitorPhysicalHeight
        382  17D 00090950 GetMonitorPhysicalWidth
        383  17E 00090810 GetMonitorPosition
        384  17F 00090A30 GetMonitorRefreshRate
        385  180 00090890 GetMonitorWidth
        386  181 0008B2D0 GetMouseDelta
        387  182 0009A830 GetMousePosition
        388  183 0008B420 GetMouseWheelMove
        389  184 0009A890 GetMouseWheelMoveV
        390  185 0009A7F0 GetMouseX
        391  186 0009A810 GetMouseY
        392  187 0005AD30 GetMusicTimeLength
        393  188 0005AD50 GetMusicTimePlayed
        394  189 0011CD30 GetPixelColor
        395  18A 0010E8A0 GetPixelDataSize
        396  18B 000987E0 GetPrevDirectoryPath
        397  18C 00098230 GetRandomValue
        398  18D 000D34F0 GetRayCollisionBox
        399  18E 000D3960 GetRayCollisionMesh
        400  18F 000D4170 GetRayCollisionQuad
        401  190 000D32D0 GetRayCollisionSphere
        402  191 000D3DB0 GetRayCollisionTriangle
        403  192 000934E0 GetRenderHeight
        404  193 000934D0 GetRenderWidth
        405  194 000934C0 GetScreenHeight
        406  195 00097FB0 GetScreenToWorld2D
        407  196 00096E00 GetScreenToWorldRay
        408  197 00096E50 GetScreenToWorldRayEx
        409  198 000934B0 GetScreenWidth
        410  199 00096BD0 GetShaderLocation
        411  19A 00096BE0 GetShaderLocationAttrib
        412  19B 000E82C0 GetShapesTexture
        413  19C 000E82E0 GetShapesTextureRectangle
        414  19D 000F1540 GetSplinePointBasis
        415  19E 000F19C0 GetSplinePointBezierCubic
        416  19F 000F1910 GetSplinePointBezierQuad
        417  1A0 000F1750 GetSplinePointCatmullRom
        418  1A1 000F14F0 GetSplinePointLinear
        419  1A2 00091140 GetTime
        420  1A3 0009A930 GetTouchPointCount
        421  1A4 0009A910 GetTouchPointId
        422  1A5 0009A8C0 GetTouchPosition
        423  1A6 0009A8A0 GetTouchX
        424  1A7 0009A8B0 GetTouchY
        425  1A8 000907D0 GetWindowHandle
        426  1A9 00090AF0 GetWindowPosition
        427  1AA 00090B40 GetWindowScaleDPI
        428  1AB 00092D00 GetWorkingDirectory
        429  1AC 00097980 GetWorldToScreen
        430  1AD 00097F10 GetWorldToScreen2D
        431  1AE 000979D0 GetWorldToScreenEx
        432  1AF 00090FB0 HideCursor
        433  1B0 001168A0 ImageAlphaClear
        434  1B1 00116590 ImageAlphaCrop
        435  1B2 00117030 ImageAlphaMask
        436  1B3 00117310 ImageAlphaPremultiply
        437  1B4 00117430 ImageBlurGaussian
        438  1B5 0011A910 ImageClearBackground
        439  1B6 0011A1E0 ImageColorBrightness
        440  1B7 00119F90 ImageColorContrast
        441  1B8 00119F80 ImageColorGrayscale
        442  1B9 00119EE0 ImageColorInvert
        443  1BA 0011A310 ImageColorReplace
        444  1BB 00119DB0 ImageColorTint
        445  1BC 001125E0 ImageCopy
        446  1BD 00112A90 ImageCrop
        447  1BE 00118030 ImageDither
        448  1BF 00114B70 ImageDraw
        449  1C0 0011B930 ImageDrawCircle
        450  1C1 0011BBA0 ImageDrawCircleLines
        451  1C2 0011BD30 ImageDrawCircleLinesV
        452  1C3 0011BB70 ImageDrawCircleV
        453  1C4 0011B160 ImageDrawLine
        454  1C5 0011B3A0 ImageDrawLineEx
        455  1C6 0011B260 ImageDrawLineV
        456  1C7 0011AA30 ImageDrawPixel
        457  1C8 0011B140 ImageDrawPixelV
        458  1C9 0011BB20 ImageDrawRectangle
        459  1CA 0011BFF0 ImageDrawRectangleLines
        460  1CB 0011BD60 ImageDrawRectangleRec
        461  1CC 0011BFA0 ImageDrawRectangleV
        462  1CD 0011D410 ImageDrawText
        463  1CE 0011D540 ImageDrawTextEx
        464  1CF 0011C150 ImageDrawTriangle
        465  1D0 0011C480 ImageDrawTriangleEx
        466  1D1 0011CC50 ImageDrawTriangleFan
        467  1D2 0011C950 ImageDrawTriangleLines
        468  1D3 0011CCB0 ImageDrawTriangleStrip
        469  1D4 00118900 ImageFlipHorizontal
        470  1D5 00118700 ImageFlipVertical
        471  1D6 00112E00 ImageFormat
        472  1D7 00115630 ImageFromChannel
        473  1D8 00112850 ImageFromImage
        474  1D9 00117AE0 ImageKernelConvolution
        475  1DA 00114340 ImageMipmaps
        476  1DB 001154B0 ImageResize
        477  1DC 00115C40 ImageResizeCanvas
        478  1DD 001152C0 ImageResizeNN
        479  1DE 00118CC0 ImageRotate
        480  1DF 001199D0 ImageRotateCCW
        481  1E0 00119630 ImageRotateCW
        482  1E1 001147D0 ImageText
        483  1E2 00114840 ImageTextEx
        484  1E3 001164F0 ImageToPOT
        485  1E4 000553B0 InitAudioDevice
        486  1E5 00092D60 InitWindow
        487  1E6 00056270 IsAudioDeviceReady
        488  1E7 0005AAE0 IsAudioStreamPlaying
        489  1E8 0005AFB0 IsAudioStreamProcessed
        490  1E9 0005AE70 IsAudioStreamValid
        491  1EA 00093510 IsCursorHidden
        492  1EB 00093520 IsCursorOnScreen
        493  1EC 000990C0 IsFileDropped
        494  1ED 00098450 IsFileExtension
        495  1EE 00099030 IsFileNameValid
        496  1EF 000FA810 IsFontValid
        497  1F0 0008B370 IsGamepadAvailable
        498  1F1 0009A620 IsGamepadButtonDown
        499  1F2 0009A5D0 IsGamepadButtonPressed
        500  1F3 0009A660 IsGamepadButtonReleased
        501  1F4 0009A6B0 IsGamepadButtonUp
        502  1F5 000885D0 IsGestureDetected
        503  1F6 0010ECA0 IsImageValid
        504  1F7 0008B310 IsKeyDown
        505  1F8 0008B450 IsKeyPressed
        506  1F9 0009A410 IsKeyPressedRepeat
        507  1FA 0009A440 IsKeyReleased
        508  1FB 0009A470 IsKeyUp
        509  1FC 000CAE90 IsMaterialValid
        510  1FD 000CDB30 IsModelAnimationValid
        511  1FE 000C72C0 IsModelValid
        512  1FF 0008B340 IsMouseButtonDown
        513  200 0009A720 IsMouseButtonPressed
        514  201 0009A770 IsMouseButtonReleased
        515  202 0009A7C0 IsMouseButtonUp
        516  203 0005AA90 IsMusicStreamPlaying
        517  204 00059800 IsMusicValid
        518  205 00099000 IsPathFile
        519  206 0011DF90 IsRenderTextureValid
        520  207 00096B60 IsShaderValid
        521  208 00057F00 IsSoundPlaying
        522  209 00057300 IsSoundValid
        523  20A 0011DF30 IsTextureValid
        524  20B 00056F30 IsWaveValid
        525  20C 00093490 IsWindowFocused
        526  20D 00090800 IsWindowFullscreen
        527  20E 00093460 IsWindowHidden
        528  20F 00093480 IsWindowMaximized
        529  210 00093470 IsWindowMinimized
        530  211 00093450 IsWindowReady
        531  212 000934A0 IsWindowResized
        532  213 0008FD60 IsWindowState
        533  214 0009B6B0 Lerp
        534  215 00058DC0 LoadAudioStream
        535  216 00099C00 LoadAutomationEventList
        536  217 000FD550 LoadCodepoints
        537  218 00098920 LoadDirectoryFiles
        538  219 00098BE0 LoadDirectoryFilesEx
        539  21A 000990D0 LoadDroppedFiles
        540  21B 0014B4B0 LoadFileData
        541  21C 0014BAE0 LoadFileText
        542  21D 000F32B0 LoadFont
        543  21E 000F4C70 LoadFontData
        544  21F 000F42A0 LoadFontEx
        545  220 000F4330 LoadFontFromImage
        546  221 000F48C0 LoadFontFromMemory
        547  222 0010E3E0 LoadImage
        548  223 0010E910 LoadImageAnim
        549  224 0010EA70 LoadImageAnimFromMemory
        550  225 0010F070 LoadImageColors
        551  226 0010E450 LoadImageFromMemory
        552  227 0010EC20 LoadImageFromScreen
        553  228 0010EB80 LoadImageFromTexture
        554  229 0011A440 LoadImagePalette
        555  22A 0010E760 LoadImageRaw
        556  22B 000C7110 LoadMaterialDefault
        557  22C 000CAA90 LoadMaterials
        558  22D 000C08B0 LoadModel
        559  22E 000CB0F0 LoadModelAnimations
        560  22F 000C7180 LoadModelFromMesh
        561  230 000585B0 LoadMusicStream
        562  231 00058EB0 LoadMusicStreamFromMemory
        563  232 000982C0 LoadRandomSequence
        564  233 0011DE10 LoadRenderTexture
        565  234 00096930 LoadShader
        566  235 000969A0 LoadShaderFromMemory
        567  236 00056F60 LoadSound
        568  237 00057230 LoadSoundAlias
        569  238 00056FF0 LoadSoundFromWave
        570  239 0011D620 LoadTexture
        571  23A 0011D770 LoadTextureCubemap
        572  23B 0011D710 LoadTextureFromImage
        573  23C 000FD2C0 LoadUTF8
        574  23D 000964C0 LoadVrStereoConfig
        575  23E 00056A10 LoadWave
        576  23F 00056A80 LoadWaveFromMemory
        577  240 000583F0 LoadWaveSamples
        578  241 00098EA0 MakeDirectory
        579  242 0009ED00 MatrixAdd
        580  243 000A0ED0 MatrixDecompose
        581  244 0009E3F0 MatrixDeterminant
        582  245 0009F650 MatrixFrustum
        583  246 0009ECC0 MatrixIdentity
        584  247 0009E7B0 MatrixInvert
        585  248 0009F9D0 MatrixLookAt
        586  249 0009EDA0 MatrixMultiply
        587  24A 0009F8A0 MatrixOrtho
